month,2010,2011,2012,2013,2014,2015,2016,2017
January,429960,519774,604600,621791,639417,645876,707458,850474
February,399518,482819,537508,561278,550003,563991,676580,753225
March,433156,511803,555586,584869,560077,629990,685502,829729
April,480328,540555,636412,649838,639614,722056,779799,-
May,495562,603641,656381,658961,675464,758152,865458,-
June,440661,496300,531719,562064,526929,599494,745564,-
July,442147,501161,513270,571030,523530,631060,749076,-
August,477144,529020,545968,595779,564677,683450,738046,-
September,426112,464422,494287,525561,477405,589067,651240,-
October,429304,507511,555293,520226,531358,626539,725876,-
November,457362,495523,542403,518528,545958,608759,698894,-
December,502198,563417,597891,626187,605417,722805,807145,-
